date,symbol,Sector,Close,entry,ValuationScore,MomentumScore,StageScore,QualityScore,QualityFlag,Stage,Substage,ScanScore,rr,base_days,base_range_pct,distance_pct,CompositeScore,Verdict
2026-07-02,505036.BO,,2276.6,2256.15,,84.1,80.0,,,2.0,2B,63.51,1.54,54.0,25.8,1.38,49.4,Watch (no fundamentals) ·
2026-07-02,505978.BO,,1090.9,1080.0,,86.9,80.0,,,2.0,2B,58.91,1.07,53.0,26.83,0.15,50.4,Watch (no fundamentals) ·
2026-07-02,513472.BO,,529.9,535.05,,78.9,40.0,,,3.0,topping,67.1,1.5,143.0,28.12,-0.95,37.6,Watch (no fundamentals) ·
2026-07-02,540718.BO,,1158.35,1185.15,,80.1,80.0,,,2.0,2B,68.83,1.91,171.0,12.06,-2.09,48.0,Watch (no fundamentals) ·
2026-07-02,ACE.NS,Industrials,1016.7,987.85,61.8,51.3,60.0,100.0,OK,1.0,basing,50.73,1.41,175.0,31.14,-1.85,63.4,Watch ·
2026-07-02,AGARWALEYE.NS,Health Care,476.6,474.5,7.1,52.2,60.0,100.0,OK,1.0,basing (vol contracting),59.28,1.09,148.0,20.72,-2.93,50.0,Watch ↑
2026-07-02,AIMTRON.NS,Information Technology,1242.0,1247.05,9.4,87.5,80.0,100.0,OK,2.0,2B,58.37,1.84,56.0,26.94,-2.37,68.0,Hold / Add on pullback ·
2026-07-02,ALIVUS.NS,Health Care,1159.2,1116.2,60.5,80.3,80.0,100.0,OK,2.0,2B / Late_Stage_Base,61.79,0.54,75.0,14.13,-2.3,78.2,Hold / Add on pullback ↑
2026-07-02,ANGELONE.NS,Financials,346.15,328.75,45.1,81.0,80.0,70.0,WATCH,2.0,2B,66.02,3.17,68.0,21.14,0.24,70.1,Hold / Add on pullback ·
2026-07-02,ARMANFIN.NS,Financials,1711.0,1660.3,44.1,58.3,40.0,100.0,OK,3.0,topping,68.0,2.1,173.0,36.18,0.82,56.4,Trim / Hold-tight ·
2026-07-02,ASHIANA.NS,Real Estate,387.9,385.6,,74.3,80.0,0.0,FAIL,2.0,2B,67.15,1.34,52.0,17.84,0.3,0.0,Avoid (quality) ↓
2026-07-02,BHARATSE.NS,Consumer Discretionary,240.76,187.45,51.4,94.7,40.0,100.0,OK,3.0,topping,53.54,1.57,75.0,27.3,2.77,71.0,Trim / Hold-tight ·
2026-07-02,CARERATING.NS,Financials,1669.0,1680.0,32.4,54.5,40.0,100.0,OK,3.0,topping,74.97,2.13,153.0,26.67,-0.62,52.2,Trim / Hold-tight ·
2026-07-02,CARYSIL.NS,Consumer Discretionary,1176.0,1188.1,40.3,87.7,80.0,100.0,OK,2.0,2B,58.42,0.55,35.0,18.03,-2.56,75.8,Hold / Add on pullback ·
2026-07-02,CENTENKA.NS,Consumer Discretionary,533.25,511.05,81.7,67.9,80.0,100.0,OK,2.0,2B / Late_Stage_Base,65.76,3.9,143.0,39.85,1.36,79.2,Hold / Add on pullback ·
2026-07-02,CHENNPETRO.NS,Energy,1134.1,1153.8,74.2,85.7,80.0,100.0,OK,2.0,2B,58.84,1.32,98.0,27.87,-3.36,83.5,Hold / Add on pullback ·
2026-07-02,CNL.NS,Information Technology,736.0,735.0,80.4,71.8,60.0,100.0,OK,1.0,basing (vol contracting),65.78,1.82,178.0,32.9,1.24,75.2,Accumulate ·
2026-07-02,CRAFTSMAN.NS,Industrials,9260.5,9388.0,13.6,86.2,80.0,85.0,WATCH,2.0,2B,67.23,1.05,52.0,18.27,-1.16,66.3,Hold / Add on pullback ·
2026-07-02,DIACABS.NS,Industrials,210.29,208.54,19.9,90.9,80.0,100.0,OK,2.0,2B,59.99,1.19,45.0,18.01,1.79,71.8,Hold / Add on pullback ·
2026-07-02,DIAMONDYD.NS,Consumer Staples,1192.2,1111.6,4.3,79.6,60.0,100.0,OK,1.0,basing (vol contracting),56.86,3.05,130.0,33.07,-3.8,58.9,Watch ↓
2026-07-02,DIVGIITTS.NS,Industrials,980.8,873.35,13.3,96.6,80.0,100.0,OK,2.0,2B,56.61,1.03,28.0,15.34,0.61,72.1,Hold / Add on pullback ·
