Date,Close
2026-06-15,9150.73
2026-06-16,9190.52
2026-06-17,9171.68
2026-06-18,9336.09
2026-06-19,9356.15
2026-06-22,9455.94
2026-06-23,9349.12
2026-06-24,9297.28
2026-06-25,9214.5
2026-06-29,9219.22
2026-06-30,9202.49
2026-07-01,9232.63
2026-07-02,9251.45
2026-07-03,9200.58
2026-07-06,9183.1
2026-07-07,9140.01
2026-07-08,9034.64
2026-07-09,9008.04
2026-07-10,9123.1
2026-07-13,9150.58
2026-07-14,9235.36
2026-07-15,9116.94
2026-07-16,9077.49
2026-07-17,9062.42
2026-07-20,9215.74
2026-07-21,9216.44
2026-07-22,9161.48
2026-07-23,9056.86
2026-07-24,9051.56
2026-07-27,9086.48
