review_date,week,source,total_candidates,valid,true_breakout,breakout_low_vol,attempted,holding,false_signal,no_data,hit_rate_strict_%,hit_rate_loose_%,data_error
2026-05-18,1,MPD,67,67,22,10,25,0,10,0,32.8,47.8,
2026-05-18,1,Screener,45,45,13,5,20,1,6,0,28.9,40.0,
2026-05-26,1,MPD,67,65,32,10,15,1,7,2,49.2,64.6,
2026-05-26,1,Screener,45,45,18,6,18,0,3,0,40.0,53.3,
2026-05-26,2,MPD,47,46,23,15,7,0,1,1,50.0,82.6,
2026-05-26,2,Screener,34,34,15,13,6,0,0,0,44.1,82.4,
2026-06-01,1,MPD,67,67,38,9,12,0,8,0,56.7,70.1,
2026-06-01,1,Screener,45,45,23,5,14,0,3,0,51.1,62.2,
2026-06-01,2,MPD,47,47,29,12,5,0,1,0,61.7,87.2,
2026-06-01,2,Screener,34,34,20,11,3,0,0,0,58.8,91.2,
2026-06-01,3,MPD,63,63,18,12,25,0,8,0,28.6,47.6,
2026-06-01,3,Screener,36,36,12,7,12,1,4,0,33.3,52.8,
2026-06-10,1,MPD,67,67,42,8,10,0,7,0,62.7,74.6,
2026-06-10,1,Screener,45,45,24,7,12,0,2,0,53.3,68.9,
2026-06-10,2,MPD,47,47,33,9,5,0,0,0,70.2,89.4,
2026-06-10,2,Screener,34,34,24,8,2,0,0,0,70.6,94.1,
2026-06-10,3,MPD,63,63,29,12,16,0,6,0,46.0,65.1,
2026-06-10,3,Screener,36,36,20,4,9,0,3,0,55.6,66.7,
2026-06-10,4,MPD,49,49,19,22,5,1,2,0,38.8,83.7,
2026-06-10,4,Screener,22,22,11,7,2,0,2,0,50.0,81.8,
2026-06-16,1,MPD,67,66,46,5,9,0,6,1,69.7,77.3,
2026-06-16,1,Screener,45,45,30,4,9,0,2,0,66.7,75.6,
2026-06-16,2,MPD,47,46,32,10,4,0,0,1,69.6,91.3,
2026-06-16,2,Screener,34,34,25,8,1,0,0,0,73.5,97.1,
2026-06-16,3,MPD,63,61,37,8,13,0,3,2,60.7,73.8,
2026-06-16,3,Screener,36,36,24,4,8,0,0,0,66.7,77.8,
2026-06-16,4,MPD,49,49,28,16,3,2,0,0,57.1,89.8,
2026-06-16,4,Screener,22,22,16,5,1,0,0,0,72.7,95.5,
2026-06-16,5,MPD,59,59,27,14,14,0,4,0,45.8,69.5,
2026-06-16,5,Screener,28,28,13,9,4,0,2,0,46.4,78.6,
2026-06-23,1,MPD,67,67,48,5,10,0,4,0,71.6,79.1,
